kind,stand,stand_label,id,tree_num,position,bearing_deg,distance_m,east_m,north_m,latitude,longitude,dbh_cm,disease_initial,disease_2_mai,disease_4_mai,audpc_adj_2mai,audpc_adj_4mai,months
centre,no_fungus_control,No-fungus control,no_fungus_control-centre,,,,,0.0,0.0,37.31736,-76.88526,,,,,,,
centre,attenuated,Formerly attenuated strain,attenuated-centre,,,,,0.0,0.0,37.31794,-76.88636,,,,,,,
centre,virulent,Virulent strain,virulent-centre,,,,,0.0,0.0,37.31775,-76.88661,,,,,,,
tree,attenuated,Formerly attenuated strain,attenuated-T1,1,,165,0.35,0.091,-0.338,37.31793695,-76.88635898,14.732,1,3,3,3,8,
tree,attenuated,Formerly attenuated strain,attenuated-T2,2,,125,0.35,0.287,-0.201,37.31793819,-76.88635677,9.652,1,1,5,0,2,
tree,attenuated,Formerly attenuated strain,attenuated-T3,3,,190,0.5,-0.087,-0.492,37.31793556,-76.88636098,13.97,1,1,5,0,2,
tree,attenuated,Formerly attenuated strain,attenuated-T4,4,,160,3,1.026,-2.819,37.3179146,-76.88634842,14.224,1,4,5,3.5,10,
tree,attenuated,Formerly attenuated strain,attenuated-T5,5,,150,4.5,2.25,-3.897,37.31790489,-76.88633462,12.954,1,4,5,4.5,11,
tree,attenuated,Formerly attenuated strain,attenuated-T6,6,,145,5.2,2.983,-4.26,37.31790162,-76.88632635,12.192,1,1,5,0,2,
tree,attenuated,Formerly attenuated strain,attenuated-T7,7,,135,5.8,4.101,-4.101,37.31790305,-76.88631373,9.398,1,1,5,0,2,
tree,attenuated,Formerly attenuated strain,attenuated-T8,8,,140,3.8,2.443,-2.911,37.31791377,-76.88633244,10.16,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T9,9,,115,4.9,4.441,-2.071,37.31792134,-76.8863099,11.176,1,1,5,0,2,
tree,attenuated,Formerly attenuated strain,attenuated-T10,10,,355,5.95,-0.519,5.927,37.31799341,-76.88636585,30.734,1,3,3,1,6,
tree,attenuated,Formerly attenuated strain,attenuated-T11,11,,355,8.6,-0.75,8.567,37.31801719,-76.88636846,20.32,1,4,3,3.5,9,
tree,attenuated,Formerly attenuated strain,attenuated-T12,12,,340,3.4,-1.163,3.195,37.31796879,-76.88637312,8.636,1,1,4,0,1.5,
tree,attenuated,Formerly attenuated strain,attenuated-T13,13,,340,1.7,-0.581,1.597,37.31795439,-76.88636656,11.938,1,5,2,5,11.5,
tree,attenuated,Formerly attenuated strain,attenuated-T14,14,,320,1.6,-1.028,1.226,37.31795104,-76.8863716,11.176,1,4,4,4.5,10.5,
tree,attenuated,Formerly attenuated strain,attenuated-T15,15,,305,2.55,-2.089,1.463,37.31795318,-76.88638357,12.192,1,1,5,0,2,
tree,attenuated,Formerly attenuated strain,attenuated-T16,16,,295,6.1,-5.528,2.578,37.31796323,-76.88642237,13.208,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T17,17,,260,5,-4.924,-0.868,37.31793218,-76.88641555,13.716,1,4,1,3.5,8,
tree,attenuated,Formerly attenuated strain,attenuated-T18,18,,235,4.15,-3.399,-2.38,37.31791855,-76.88639835,12.446,1,1,5,0,2,
tree,attenuated,Formerly attenuated strain,attenuated-T19,19,,225,4.1,-2.899,-2.899,37.31791388,-76.88639271,13.208,1,4,4,4.5,10.5,
tree,attenuated,Formerly attenuated strain,attenuated-T20,20,,220,5.3,-3.407,-4.06,37.31790342,-76.88639843,11.938,1,1,5,0,2,
tree,attenuated,Formerly attenuated strain,attenuated-T21,21,,150,3.6,1.8,-3.118,37.31791191,-76.88633969,2.627650329928476,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T22,22,,145,3.34,1.916,-2.736,37.31791535,-76.88633839,5.053173711400915,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T23,23,,140,4.55,2.925,-3.486,37.31790859,-76.886327,4.244665917576769,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T24,24,,120,3.75,3.248,-1.875,37.31792311,-76.88632336,2.829777278384512,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T25,25,,115,8.06,7.305,-3.406,37.31790931,-76.88627759,2.021269484560366,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T26,26,,115,8.05,7.296,-3.402,37.31790935,-76.88627769,6.468062350593172,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T27,27,,115,8.7,7.885,-3.677,37.31790687,-76.88627105,4.042538969120733,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T28,28,,110,10.5,9.867,-3.591,37.31790764,-76.88624869,2.829777278384512,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T29,29,,110,10.55,9.914,-3.608,37.31790749,-76.88624816,7.680824041329392,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T30,30,,110,10.53,9.895,-3.601,37.31790755,-76.88624837,8.489331835153537,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T31,31,,100,8.7,8.568,-1.511,37.31792639,-76.88626334,7.034017806270073,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T32,32,,100,11.2,11.03,-1.945,37.31792248,-76.88623557,8.89358573206561,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T33,33,,100,10.6,10.439,-1.841,37.31792341,-76.88624223,9.297839628977684,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T34,34,,100,10.9,10.734,-1.893,37.31792295,-76.8862389,5.255300659856952,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T35,35,,95,10.35,10.311,-0.902,37.31793187,-76.88624368,8.994649206293628,1,1,1,0,0,
tree,attenuated,Formerly attenuated strain,attenuated-T36,36,,92,8.4,8.395,-0.293,37.31793736,-76.88626529,6.063808453681098,1,1,1,0,0,
