"species","response","family","n","slope_per_SD","se","statistic","p","dAICc","dispersion","effect_unit"
"bes","length","gaussian",40,0.98752269002698,1.94823875544857,0.506879707256213,0.615330072803439,-2.33738812820525,NA,"resp units / SD"
"bes","ratio","gaussian",40,-0.185170184988659,0.0947965815933178,-1.95334242940372,0.0585850563134037,1.40769193336244,NA,"resp units / SD"
"bes","germination","quasibinomial",45,-0.179458278760019,0.198340276681722,-0.90479998194213,0.370857613744448,-1.68518999303947,2.80430885322464,"log-odds / SD"
"jg","length","gaussian",44,-0.00731796807262359,3.83350519388929,-0.00190894956508436,0.998486368394325,-2.55330233428282,NA,"resp units / SD"
"jg","ratio","gaussian",44,0.0520859110451627,0.0693140863503417,0.75144770403377,0.456781949092092,-1.93650877085199,NA,"resp units / SD"
"jg","germination","quasibinomial",45,-0.196036123638291,0.146781179483729,-1.33556716418144,0.189058152659152,-0.588424689793328,4.58479418996108,"log-odds / SD"
"wsr","length","gaussian",38,1.46893094349828,1.35488008601013,1.08417782404936,0.28591438898146,-1.37134879569277,NA,"resp units / SD"
"wsr","ratio","gaussian",38,-0.0145608808752269,0.0470034828580537,-0.309783020105116,0.758616738920739,-2.55577428824911,NA,"resp units / SD"
"wsr","germination","quasibinomial",45,-0.0201642784407285,0.185105486344932,-0.108933985906575,0.91378625972003,-2.52649743163047,3.47247721109652,"log-odds / SD"
"yar","length","gaussian",44,0.69209855860129,1.12929390083062,0.612859555951056,0.543438184770715,-2.14207751956218,NA,"resp units / SD"
"yar","ratio","gaussian",44,-0.129474895043665,0.0682390238667918,-1.89737319948202,0.0650139442959845,1.23853757982258,NA,"resp units / SD"
"yar","germination","quasibinomial",45,-0.0898570740828422,0.253367833759772,-0.354650678223185,0.724669057423886,-2.40896656849545,12.9153153760562,"log-odds / SD"
