"alpha","beta","species","response","family","n","slope_per_SD","se","statistic","p","dAICc","dispersion"
0,0.05,"bes","length","gaussian",40,0.635641837045741,2.06327192897777,0.308074678920614,0.759801039487948,-2.5165319423902,NA
0,0.05,"bes","ratio","gaussian",40,-0.190242765554061,0.100458962194679,-1.89373612267057,0.0663180164856445,1.1766535131936,NA
0,0.05,"bes","germination","quasibinomial",45,-0.164850701644258,0.204055157044922,-0.807873243840473,0.423826147856937,-1.87502330898157,2.82173459307352
0,0.05,"jg","length","gaussian",44,3.66122695108342,3.93782393021967,0.929758926747948,0.358073296653515,-1.61253888960772,NA
0,0.05,"jg","ratio","gaussian",44,0.028717763533002,0.0723293319524059,0.397041736150679,0.69344732952658,-2.3802407952386,NA
0,0.05,"jg","germination","quasibinomial",45,-0.0826759135891128,0.146749561567796,-0.563380992119134,0.576243923393387,-2.21654742629615,4.87400684645451
0,0.05,"wsr","length","gaussian",38,1.69533681325174,1.58427202717342,1.07010461850827,0.292110461245924,-1.40411506055767,NA
0,0.05,"wsr","ratio","gaussian",38,-0.0375740101661997,0.0546366448739797,-0.687707128665473,0.496302306607544,-2.13794011537839,NA
0,0.05,"wsr","germination","quasibinomial",45,-0.210690451779227,0.208724809960771,-1.0094173846359,0.318694853982897,-1.47254307005987,3.50001239552779
0,0.05,"yar","length","gaussian",44,1.64153766563679,1.12867957685649,1.45438767502879,0.153641369858415,-0.285973158405227,NA
0,0.05,"yar","ratio","gaussian",44,-0.144745048994697,0.0690276326463816,-2.09691457530065,0.0423695694002452,2.03561154046587,NA
0,0.05,"yar","germination","quasibinomial",45,-0.117336103388639,0.257058298188923,-0.456457170281285,0.650470240413687,-2.32669937301087,12.8838040407936
0,0.1,"bes","length","gaussian",40,0.648951043989303,2.02020379376747,0.321230484761677,0.749893329032609,-2.50735827527649,NA
0,0.1,"bes","ratio","gaussian",40,-0.194099171961092,0.0979531594473437,-1.98155090714999,0.0552058731012133,1.51904835445329,NA
0,0.1,"bes","germination","quasibinomial",45,-0.182562232990725,0.204062232261681,-0.894639987847506,0.376201691470022,-1.71272953622039,2.80929728566996
0,0.1,"jg","length","gaussian",44,1.83151931861074,3.91155370450947,0.468233202703892,0.642159348694897,-2.31279829629921,NA
0,0.1,"jg","ratio","gaussian",44,0.0147195329462348,0.0713797364584091,0.206214447917042,0.837669443784716,-2.5065543512504,NA
0,0.1,"jg","germination","quasibinomial",45,-0.122332715782466,0.147561859296412,-0.829026662890801,0.411889883671806,-1.82567576545439,4.79597060343193
0,0.1,"wsr","length","gaussian",38,1.70404580873104,1.53638378795869,1.10912769458151,0.275158871520672,-1.31227785760927,NA
0,0.1,"wsr","ratio","gaussian",38,-0.0293202753149544,0.0531796767806183,-0.551343616395207,0.585003612588344,-2.32464643111724,NA
0,0.1,"wsr","germination","quasibinomial",45,-0.201343506287466,0.210821897436429,-0.955040765384339,0.345154458272147,-1.56612915485455,3.48601998395479
0,0.1,"yar","length","gaussian",44,1.22879682804064,1.17276159250543,1.04778058549436,0.301029808033074,-1.36195299845065,NA
0,0.1,"yar","ratio","gaussian",44,-0.142790204234708,0.0711484723177485,-2.00693282066561,0.0515482723808542,1.66811214973587,NA
0,0.1,"yar","germination","quasibinomial",45,-0.125881679547398,0.257938562048809,-0.48802970190854,0.628128652683495,-2.29321784176157,12.8851996481026
0,0.15,"bes","length","gaussian",40,0.635033248025621,1.96033077787004,0.323941885315704,0.747856628644715,-2.50542018793288,NA
0,0.15,"bes","ratio","gaussian",40,-0.190517850170646,0.0949323918535509,-2.00687927956721,0.0523172449828931,1.6201268364531,NA
0,0.15,"bes","germination","quasibinomial",45,-0.190862480696432,0.204392980293463,-0.933801544565743,0.355873431873521,-1.62041418613364,2.80048136337962
0,0.15,"jg","length","gaussian",44,0.136944959908206,3.8444802294716,0.0356211897926779,0.971761586459623,-2.55191060883891,NA
0,0.15,"jg","ratio","gaussian",44,0.00304899775503334,0.0700009035695453,0.0435565485523224,0.965474599319404,-2.5512195020544,NA
0,0.15,"jg","germination","quasibinomial",45,-0.156416370070735,0.150648985964165,-1.03828359062399,0.305222806481322,-1.37911159001209,4.72982578568465
